GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_003845795.1	7950348	N/A	N/A	
GCA_004352675.2	25500608	N/A	N/A	
GCA_003711585.2	15409598	N/A	N/A	
GCA_900246015.1	5951418	N/A	N/A	
GCA_028455575.1	40666838	N/A	N/A	
GCA_028455805.1	40666798	N/A	N/A	
GCA_916610255.1	29213888	N/A	N/A	
GCA_028454225.1	40666808	N/A	N/A	
GCA_028455605.1	40667038	N/A	N/A	
GCA_028455795.1	40666998	N/A	N/A	
GCA_916610235.2	31164928	N/A	N/A	
GCA_028455765.1	40666988	N/A	N/A	
GCA_933228785.1	32422588	N/A	N/A	
GCA_028455745.1	40667008	N/A	N/A	
GCA_028455595.1	40667118	N/A	N/A	
GCA_028455615.1	40667108	N/A	N/A	
GCA_928268935.1	31423268	N/A	N/A	
GCA_949152495.1	42219788	N/A	N/A	
GCA_905147015.1	25031918	N/A	N/A	
GCA_004023545.1	8246138	N/A	N/A	
GCA_004028665.1	8256358	N/A	N/A	
GCA_001640805.2	35000518	GCF_001640805.2	36494898	
GCA_949128165.1	41863008	N/A	N/A	
GCA_023078275.1	32893398	GCF_023078275.1	33122718	
GCA_933228885.1	32422528	N/A	N/A	
GCA_020740605.1	29951878	GCF_020740605.2	30504118	
GCA_028533165.1	40722488	N/A	N/A	
GCA_018350155.1	26707938	GCF_018350155.1	30460958	
GCA_016086655.3	30142278	GCF_016086655.3	30152478	
GCA_905330665.1	26630388	N/A	N/A	
GCA_936440205.1	33639538	N/A	N/A	
GCA_000242695.1	327908	GCF_000242695.1	885108	
GCA_905404315.1	26465188	GCF_905404315.1	35822978	
GCA_024712935.1	35309128	N/A	N/A	
GCA_018994145.1	27558268	N/A	N/A	
GCA_009667805.1	15445228	N/A	N/A	
GCA_947310635.1	37888688	N/A	N/A	
GCA_009760805.1	15639428	N/A	N/A	
GCA_015708825.1	23485358	N/A	N/A	
GCA_023718395.1	34053098	N/A	N/A	
GCA_021554675.1	31069328	N/A	N/A	
GCA_948253155.1	39947498	N/A	N/A	
GCA_028641065.1	40977128	N/A	N/A	
GCA_932273885.2	36955038	N/A	N/A	
GCA_934045905.1	32517488	N/A	N/A	
GCA_008360975.2	31789598	N/A	N/A	
GCA_947049295.1	37134438	N/A	N/A	
GCA_905147385.1	25032308	N/A	N/A	
GCA_917563855.2	31878268	N/A	N/A	
GCA_917880885.1	30194858	N/A	N/A	
GCA_929108145.2	36955478	N/A	N/A	
GCA_944474755.1	34676058	N/A	N/A	
GCA_910592395.2	31876398	N/A	N/A	
GCA_023512825.1	33530008	N/A	N/A	
GCA_028564925.1	40706588	N/A	N/A	
GCA_949152455.1	41863128	N/A	N/A	
GCA_948473465.1	40582798	N/A	N/A	
GCA_947363905.1	38164218	N/A	N/A	
GCA_947522985.1	38450828	N/A	N/A	
GCA_932526365.1	32413248	N/A	N/A	
GCA_949126875.1	41862768	N/A	N/A	
GCA_947563755.1	38552288	N/A	N/A	
GCA_026315105.1	37705368	N/A	N/A	
GCA_948107665.1	39342008	N/A	N/A	
GCA_005870125.1	10889208	GCF_005870125.1	11195318	
GCA_022045245.1	31629908	GCF_022045245.1	31969898	
GCA_945859605.1	35905448	N/A	N/A	
GCA_927399505.1	31579128	N/A	N/A	
GCA_020091685.1	28999158	N/A	N/A	
GCA_902655055.2	21712228	GCF_902655055.1	32627778	
GCA_024334085.1	34776608	N/A	N/A	
GCA_905333005.2	32233268	N/A	N/A	
GCA_001887905.1	3746848	N/A	N/A	
GCA_001883655.1	3746658	N/A	N/A	
GCA_947563715.1	38552258	N/A	N/A	
GCA_028022725.1	40362758	N/A	N/A	
GCA_905163515.2	31423698	N/A	N/A	
GCA_007474595.2	20354128	GCF_007474595.2	21843908	
GCA_947311025.1	37888718	N/A	N/A	
GCA_905333045.1	25816568	N/A	N/A	
GCA_905220515.1	25060598	N/A	N/A	
GCA_015342785.2	41273668	GCF_015342785.2	41832198	
GCA_018143015.1	26536068	GCF_018143015.1	26697328	
GCA_026956025.1	38618988	N/A	N/A	
GCA_012559485.3	30152968	GCF_012559485.2	30234828	
GCA_011100615.1	17410038	N/A	N/A	
GCA_000230815.1	310698	N/A	N/A	
GCA_000222185.1	298528	N/A	N/A	
GCA_000364345.1	704988	GCF_000364345.1	779818	
GCA_003339765.3	8740558	GCF_003339765.1	8775378	
GCA_008058575.1	13314508	N/A	N/A	
GCA_000230795.1	310688	N/A	N/A	
GCA_000772875.3	2701138	GCF_000772875.2	2715158	
GCA_000002255.2	1833778	GCF_000002255.3	237568	
GCA_001270425.1	2259028	N/A	N/A	
GCA_024542745.1	35125148	GCF_024542745.1	35300378	
GCA_927399415.1	31579048	N/A	N/A	
GCA_933228815.1	32422778	N/A	N/A	
GCA_015110555.1	41942488	N/A	N/A	
GCA_015104395.1	22766418	N/A	N/A	
GCA_949628255.1	41863878	N/A	N/A	
GCA_916610135.2	30934508	N/A	N/A	
GCA_028583105.1	40722588	N/A	N/A	
GCA_028627215.1	40827578	N/A	N/A	
GCA_025267735.1	36231178	N/A	N/A	
GCA_910589415.1	27793648	N/A	N/A	
GCA_027887155.1	39762428	GCF_027887155.1	41130848	
GCA_027887205.1	39762378	N/A	N/A	
GCA_009741485.1	15606538	N/A	N/A	
GCA_905163435.1	25032638	N/A	N/A	
GCA_014839805.1	22448578	GCF_014839805.1	22894118	
GCA_902806685.2	26419478	N/A	N/A	
GCA_905333055.1	25816008	GCF_905333055.1	30836098	
GCA_923062675.1	30643698	N/A	N/A	
GCA_019059595.1	27612508	N/A	N/A	
GCA_029410595.1	41714618	N/A	N/A	
GCA_911728455.2	31423728	N/A	N/A	
GCA_019455525.1	28215418	N/A	N/A	
GCA_019455535.1	28215408	N/A	N/A	
GCA_900324485.3	26551538	N/A	N/A	
GCA_008632895.1	14068078	GCF_008632895.1	14639738	
GCA_018831715.1	27332698	N/A	N/A	
GCA_020497125.1	29568298	GCF_020497125.1	29946588	
GCA_016161935.1	24120458	GCF_016161935.1	24833308	
GCA_000238955.5	6363178	GCF_000238955.4	6387918	
GCA_946902985.1	36655788	N/A	N/A	
GCA_949319885.1	41863668	N/A	N/A	
GCA_945859555.1	36656468	N/A	N/A	
GCA_945859595.2	36955738	N/A	N/A	
GCA_021613375.1	31266548	N/A	N/A	
GCA_018812025.1	27306988	GCF_018812025.1	33123398	
GCA_019176425.1	27821608	N/A	N/A	
GCA_013368585.1	20129708	GCF_013368585.1	22475728	
GCA_026979955.1	38796178	N/A	N/A	
GCA_936450015.1	33637218	N/A	N/A	
GCA_920104075.1	30319558	N/A	N/A	
GCA_947386135.1	38286558	N/A	N/A	
GCA_914767635.1	28912768	N/A	N/A	
GCA_017639745.1	25887838	GCF_017639745.1	27103198	
GCA_026261665.1	37582518	N/A	N/A	
GCA_000146605.4	14905098	GCF_000146605.3	15099478	
GCA_943294205.1	34500528	N/A	N/A	
GCA_943295565.1	34500518	N/A	N/A	
GCA_922984935.2	32853428	N/A	N/A	
GCA_918358865.1	30196338	N/A	N/A	
GCA_918358695.1	30195068	N/A	N/A	
GCA_948107695.1	39342178	N/A	N/A	
GCA_905220565.1	25031898	GCF_905220565.1	30575518	
GCA_905220545.2	31423488	N/A	N/A	
GCA_935421215.2	36955708	N/A	N/A	
GCA_012275295.1	18662688	GCF_012275295.1	19361308	
GCA_028018845.1	40362508	N/A	N/A	
GCA_914767715.1	28912978	N/A	N/A	
GCA_021730395.1	31301168	GCF_021730395.1	39473948	
GCA_014805675.2	30054618	GCF_014805675.1	30288768	
GCA_009819595.1	15715268	N/A	N/A	
GCA_916614155.1	29214098	N/A	N/A	
GCA_025265405.1	36033498	N/A	N/A	
GCA_933210815.1	32419808	N/A	N/A	
GCA_949699065.1	41864028	N/A	N/A	
GCA_018105865.1	26469138	N/A	N/A	
GCA_947359465.1	37968388	N/A	N/A	
GCA_019925205.1	28835958	N/A	N/A	
GCA_901765095.2	26551308	N/A	N/A	
GCA_000165445.3	4096748	GCF_000165445.2	4121788	
GCA_940306215.1	33230158	N/A	N/A	
GCA_026212275.2	40758918	GCF_026212275.2	40782088	
GCA_029641195.1	42092498	N/A	N/A	
GCA_944548615.1	34676108	N/A	N/A	
GCA_021292245.1	30897018	GCF_021292245.1	31127988	
GCA_022435785.1	32085028	N/A	N/A	
GCA_019677235.1	28468698	N/A	N/A	
GCA_000317375.1	504458	GCF_000317375.1	753838	
GCA_933228765.1	32422368	N/A	N/A	
GCA_947623455.1	38845278	N/A	N/A	
GCA_905332985.1	25531708	N/A	N/A	
GCA_917499265.3	36954888	N/A	N/A	
GCA_028551445.1	40700048	N/A	N/A	
GCA_021288785.3	38795888	GCF_021288785.2	41494438	
GCA_027580225.1	39302438	GCF_027580225.1	42094638	
GCA_012460135.3	41435438	GCF_012460135.2	41609668	
GCA_025584915.1	36548898	N/A	N/A	
GCA_000002295.1	279808	GCF_000002295.2	237648	
GCA_027887165.1	39762558	N/A	N/A	
GCA_013373865.2	21590788	GCF_013373865.1	22167928	
GCA_947458855.1	38304078	N/A	N/A	
GCA_947359445.1	37968478	N/A	N/A	
GCA_949126865.1	42217678	N/A	N/A	
GCA_015832195.1	23658508	GCF_015832195.1	23778528	
GCA_022458985.1	32132078	GCF_022458985.1	32520548	
GCA_016735935.1	24748538	N/A	N/A	
GCA_028533875.1	40700108	N/A	N/A	
GCA_020276665.1	29280698	N/A	N/A	
GCA_020226055.1	29280098	N/A	N/A	
GCA_008782695.1	14240338	N/A	N/A	
GCA_020226045.1	29280108	N/A	N/A	
GCA_008787405.2	18987568	N/A	N/A	
GCA_027704905.1	39551058	N/A	N/A	
GCA_900094665.2	4428938	GCF_900094665.2	41563678	
GCA_000001635.9	20371618	GCF_000001635.27	20412818	
GCA_921998315.2	34743968	N/A	N/A	
GCA_921997145.2	34743998	N/A	N/A	
GCA_947593165.1	39730068	N/A	N/A	
GCA_947599735.1	39730038	N/A	N/A	
GCA_921998355.2	34743838	N/A	N/A	
GCA_921998905.2	34743758	N/A	N/A	
GCA_921997125.2	34743608	N/A	N/A	
GCA_921999865.2	34743668	N/A	N/A	
GCA_921998325.2	34743938	N/A	N/A	
GCA_921998555.2	34743848	N/A	N/A	
GCA_922000895.2	34743648	N/A	N/A	
GCA_921998635.2	34743788	N/A	N/A	
GCA_001624295.1	3209038	N/A	N/A	
GCA_001624215.1	3209028	N/A	N/A	
GCA_001624745.1	3209098	N/A	N/A	
GCA_001632525.1	3227818	N/A	N/A	
GCA_001624535.1	3209078	N/A	N/A	
GCA_001632575.1	3227868	N/A	N/A	
GCA_001624185.1	3209018	N/A	N/A	
GCA_001624505.1	3209068	N/A	N/A	
GCA_001624475.1	3209058	N/A	N/A	
GCA_001632555.1	3227888	N/A	N/A	
GCA_001632615.1	3227898	N/A	N/A	
GCA_001624675.1	3209088	N/A	N/A	
GCA_921999005.2	34743728	N/A	N/A	
GCA_001624445.1	3209048	N/A	N/A	
GCA_921998345.2	34743878	N/A	N/A	
GCA_001624835.1	3209128	N/A	N/A	
GCA_921999095.2	34743698	N/A	N/A	
GCA_921998335.2	34743908	N/A	N/A	
GCA_001624775.1	3209108	N/A	N/A	
GCA_900095145.2	4428958	GCF_900095145.1	4487688	
GCA_921997135.2	34566248	N/A	N/A	
GCA_001624865.1	3209118	N/A	N/A	
GCA_020010945.3	40685308	N/A	N/A	
GCA_949126915.1	41862888	N/A	N/A	
GCA_009829155.1	15730418	GCF_009829155.1	15887268	
GCA_022355385.1	32002298	N/A	N/A	
GCA_026914265.1	38484878	GCF_026914265.1	39258958	
GCA_930367185.1	31878058	N/A	N/A	
GCA_017639245.1	25887188	N/A	N/A	
GCA_943737955.1	34136128	N/A	N/A	
GCA_949629155.1	41863968	N/A	N/A	
GCA_902150065.1	12011548	GCF_902150065.1	12395918	
GCA_929112965.1	31798198	N/A	N/A	
GCA_910589285.2	31799048	N/A	N/A	
GCA_905147345.3	37189048	N/A	N/A	
GCA_949319445.1	41863758	N/A	N/A	
GCA_020882275.1	30152088	N/A	N/A	
GCA_026898235.1	38500678	N/A	N/A	
GCA_949316375.1	41863428	N/A	N/A	
GCA_028015205.1	40362258	N/A	N/A	
GCA_017311375.1	25500108	N/A	N/A	
GCA_019925275.1	28836438	N/A	N/A	
GCA_025276775.1	36207118	N/A	N/A	
GCA_025215535.1	35950668	N/A	N/A	
GCA_025277285.1	36207108	N/A	N/A	
GCA_019703515.2	36958378	GCF_019703515.2	36997708	
GCA_029232275.1	41558598	N/A	N/A	
GCA_009733165.1	15601868	N/A	N/A	
GCA_000772465.1	1374628	N/A	N/A	
GCA_009193385.2	16103808	GCF_009193385.2	16575688	
GCA_000002325.2	500838	GCF_000002325.3	1080158	
GCA_028533885.1	40725448	N/A	N/A	
GCA_944738965.1	34676648	N/A	N/A	
GCA_944039245.1	34366198	N/A	N/A	
GCA_014905685.2	25788498	GCF_014905685.2	27844178	
GCA_946902875.1	36656388	N/A	N/A	
GCA_932526225.1	32413218	GCF_932526225.1	33782148	
GCA_947369275.1	38484668	N/A	N/A	
GCA_921293005.1	30507758	N/A	N/A	
GCA_921293315.2	36954918	N/A	N/A	
GCA_027579695.1	39302158	N/A	N/A	
GCA_947623515.1	38597458	N/A	N/A	
GCA_016271365.1	24298798	N/A	N/A	
GCA_021155785.1	30549388	GCF_021155785.1	31269968	
GCA_021901455.1	31440918	GCF_021901455.1	31609738	
GCA_001263575.2	6705508	N/A	N/A	
GCA_021155775.1	30549378	GCF_021155775.1	31269948	
GCA_021901495.1	31440908	GCF_021901495.1	31809538	
GCA_028018385.1	40362558	N/A	N/A	
GCA_020171115.1	29102078	GCF_020171115.1	29368188	
GCA_947538895.1	38550498	N/A	N/A	
GCA_002201575.2	29669218	GCF_002201575.2	29844128	
GCA_029203775.1	41468208	N/A	N/A	
GCA_024320075.1	34763738	N/A	N/A	
GCA_026225855.1	37465928	N/A	N/A	
GCA_902685375.1	15573758	N/A	N/A	
GCA_022818045.1	32607708	N/A	N/A	
GCA_023375725.1	33284128	N/A	N/A	
GCA_947095585.1	36870968	N/A	N/A	
GCA_947310385.1	37888658	N/A	N/A	
GCA_932526605.1	32413728	N/A	N/A	
GCA_946811545.1	36656188	N/A	N/A	
GCA_011076525.1	17483698	N/A	N/A	
GCA_928085145.1	34440768	N/A	N/A	
GCA_014281875.1	21775438	N/A	N/A	
GCA_902410095.1	24773398	N/A	N/A	
GCA_023373845.1	33284088	N/A	N/A	
GCA_014356525.1	22011118	GCF_014356525.2	41836688	
GCA_015708395.1	23485368	N/A	N/A	
GCA_905163415.1	25032668	N/A	N/A	
GCA_910589295.1	27793238	N/A	N/A	
GCA_905220335.1	26769698	N/A	N/A	
GCA_907165295.1	26795098	N/A	N/A	
GCA_948146005.1	39885648	N/A	N/A	
GCA_006542625.1	11597548	GCF_006542625.1	13631498	
GCA_000146795.3	504578	GCF_000146795.2	506498	
GCA_028372415.1	40616828	N/A	N/A	
GCA_014300015.1	21804988	N/A	N/A	
GCA_001465895.2	2788098	GCF_001465895.1	3041528	
GCA_905163555.1	25032708	N/A	N/A	
GCA_905147325.1	25048398	N/A	N/A	
GCA_918843915.1	30196988	N/A	N/A	
GCA_009762535.1	15641368	GCF_009762535.1	19657818	
GCA_936439885.1	33639478	N/A	N/A	
GCA_002078875.2	4541828	GCF_002078875.1	4550868	
GCA_947037095.1	37134498	N/A	N/A	
GCA_013368605.1	20129718	N/A	N/A	
GCA_023898255.1	34196168	N/A	N/A	
GCA_027406575.1	39156468	GCF_027406575.1	39893818	
GCA_024268025.1	34692978	N/A	N/A	
GCA_905147045.1	25032008	GCF_905147045.1	35338878	
GCA_905220585.2	31423818	N/A	N/A	
GCA_905147175.2	31423638	N/A	N/A	
GCA_947347705.1	37888858	N/A	N/A	
GCA_910591585.2	36716688	N/A	N/A	
GCA_028476595.1	40617328	N/A	N/A	
GCA_905404295.2	36716358	N/A	N/A	
GCA_014633375.1	22229678	GCF_014633375.1	22416758	
GCA_905475445.1	26466918	N/A	N/A	
GCA_001194135.2	36541278	GCF_001194135.2	39258888	
GCA_006345805.1	11231918	GCF_006345805.1	11530438	
GCA_910593695.2	36715568	N/A	N/A	
GCA_020976825.1	30360438	N/A	N/A	
GCA_023699985.2	39809108	N/A	N/A	
GCA_027942865.1	39890548	N/A	N/A	
GCA_019343175.1	28191728	N/A	N/A	
GCA_949316235.1	41863608	N/A	N/A	
GCA_029582105.1	41957488	N/A	N/A	
GCA_024291935.2	36766828	N/A	N/A	
GCA_948474745.1	40581808	N/A	N/A	
GCA_916610215.1	29213768	N/A	N/A	
GCA_021184085.1	30587678	GCF_021184085.1	31133528	
GCA_017355495.1	25789548	N/A	N/A	
GCA_023373465.1	33284118	GCF_023373465.1	37758388	
GCA_012931545.1	19352608	GCF_012931545.1	21465608	
GCA_002021735.2	15165548	GCF_002021735.2	15462268	
GCA_013265735.3	22263958	GCF_013265735.2	22454928	
GCA_025558465.1	36489728	N/A	N/A	
GCA_900005705.1	4412098	N/A	N/A	
GCA_002163495.1	4547378	GCF_002163495.1	4604578	
GCA_006149115.2	33250948	GCF_006149115.2	33250968	
GCA_018296145.1	26639378	GCF_018296145.1	27595728	
GCA_002831465.1	5736788	N/A	N/A	
GCA_002872995.1	5886308	GCF_002872995.1	6017098	
GCA_903995425.1	21789338	GCF_903995425.1	22166688	
GCA_012432095.1	18879378	N/A	N/A	
GCA_003672135.1	7620928	GCF_003672135.1	7654158	
GCA_932527175.1	32413398	N/A	N/A	
GCA_944452715.1	34550138	N/A	N/A	
GCA_943142095.1	33826678	N/A	N/A	
GCA_931315375.2	32814998	N/A	N/A	
GCA_937001465.1	33647558	GCF_937001465.1	34501458	
GCA_013358895.1	20119458	GCF_013358895.1	24972438	
GCA_016625535.1	24645768	N/A	N/A	
GCA_001858045.3	6740358	GCF_001858045.2	6913968	
GCA_013350305.1	20102208	N/A	N/A	
GCA_000188235.2	354508	GCF_000188235.2	768498	
GCA_916999025.1	29501808	N/A	N/A	
GCA_004115215.4	22940018	GCF_004115215.2	25321828	
GCA_000002275.2	516978	N/A	N/A	
GCA_947562075.1	38551818	N/A	N/A	
GCA_948252205.1	39936248	N/A	N/A	
GCA_009806435.2	24837048	GCF_009806435.1	37120158	
GCA_000003625.1	5128	GCF_000003625.3	1097738	
GCA_013371645.1	20138818	N/A	N/A	
GCA_023969325.1	34232238	N/A	N/A	
GCA_003999625.1	8202098	N/A	N/A	
GCA_002234675.1	4843688	GCF_002234675.1	5973118	
GCA_002234695.1	4843708	N/A	N/A	
GCA_002234715.1	4843728	N/A	N/A	
GCA_004348095.1	8745538	N/A	N/A	
GCA_004347445.1	8745528	N/A	N/A	
GCA_004348135.1	8745548	N/A	N/A	
GCA_000313675.1	458468	GCF_000313675.1	508288	
GCA_002922805.2	18662548	GCF_002922805.2	22295698	
GCA_947507565.1	38470838	N/A	N/A	
GCA_932521035.1	32413448	N/A	N/A	
GCA_932521025.1	32413778	N/A	N/A	
GCA_932521415.1	32413958	N/A	N/A	
GCA_932521405.1	32413298	N/A	N/A	
GCA_013425905.1	20394108	N/A	N/A	
GCA_907164935.1	26794908	GCF_907164935.1	31267078	
GCA_024362745.1	34816328	N/A	N/A	
GCA_947568905.1	38559588	N/A	N/A	
GCA_026413225.1	37704628	N/A	N/A	
GCA_028583565.1	40727598	N/A	N/A	
GCA_023701675.1	33810908	N/A	N/A	
GCA_023701655.1	33810898	N/A	N/A	
GCA_016772045.1	24832408	GCF_016772045.1	27481198	
GCA_022416915.1	32222468	N/A	N/A	
GCA_018804185.1	27301128	N/A	N/A	
GCA_022432835.1	32222458	N/A	N/A	
GCA_022416755.1	32222438	N/A	N/A	
GCA_022416685.1	32222348	N/A	N/A	
GCA_017524585.1	25788728	N/A	N/A	
GCA_024222265.1	34640798	N/A	N/A	
GCA_022432845.1	32222488	N/A	N/A	
GCA_019145175.1	27806768	N/A	N/A	
GCA_022416785.1	32222398	N/A	N/A	
GCA_022538005.1	32222338	N/A	N/A	
GCA_022416745.1	32222358	N/A	N/A	
GCA_022416725.1	32222298	N/A	N/A	
GCA_022244705.1	32002338	N/A	N/A	
GCA_022244695.1	32002418	N/A	N/A	
GCA_022432825.1	32222478	N/A	N/A	
GCA_022416775.1	32222408	N/A	N/A	
GCA_024222175.1	34657218	N/A	N/A	
GCA_022416695.1	32222308	N/A	N/A	
