Filename	Sequences	Total	Mean	Median	Longest	n50
acropora/GCA_020536085.1_Ahyacinthus.chrsV1_genomic.fna.gz	907	446425040	492199.6	26250	34295999	26527962
acropora/GCF_013753865.1_Amil_v2.1_genomic.fna.gz	854	475381253	556652.5	54297	39361238	19840543
anastrepha/GCF_027943255.1_idAnaObli1_1.0_genomic.fna.gz	205	836742189	4081669.2	47671	184948302	134537425
anastrepha/GCF_028408465.1_idAnaLude1.1_genomic.fna.gz	140	820766187	5862615.6	24568	185090897	131385309
bombus/GCF_014825855.1_ASM1482585v1_genomic.fna.gz	4727	254804690	53904.1	1290	19821024	15222711
bombus/GCF_910591885.1_iyBomTerr1.2_genomic.fna.gz	249	392962041	1578160.8	131121	25524254	14593050
branchiostoma/GCA_927797965.1_BraLan3_genomic.fna.gz	482	474791770	985045.2	25000	43860960	23752511
branchiostoma/GCF_000003815.2_Bfl_VNyyK_genomic.fna.gz	432	513460931	1188567.0	21829	35335272	25441410
bufo/GCF_014858855.1_ASM1485885v1_genomic.fna.gz	748	4545482719	6076848.6	196439	759857066	539822115
bufo/GCF_905171765.1_aBufBuf1.1_genomic.fna.gz	1306	5044744194	3862744.4	29395	843366180	635713434
carassius/GCF_003368295.1_ASM336829v1_genomic.fna.gz	6216	1820635050	292895.0	43186	37185075	22763433
carassius/GCF_023724105.1_carGib1.2-hapl.c_genomic.fna.gz	51	1583351535	31046108.5	29651998	55532955	30677984
cervus/GCA_010411085.1_CEY_v1_genomic.fna.gz	17927	2594114534	144704.3	2362	134243713	77688133
cervus/GCF_019320065.1_ASM1932006v1_genomic.fna.gz	185	2526613007	13657367.6	9169	146388637	77654944
cervus/GCF_910594005.1_mCerEla1.1_genomic.fna.gz	144	2886603524	20045857.8	659754	179953079	83473711
crassostrea/GCA_015776775.1_ASM1577677v1_genomic.fna.gz	659	608622584	923554.8	19129	64470731	55855599
crassostrea/GCF_002022765.2_C_virginica-3.0_genomic.fna.gz	11	684741128	62249193.5	61752955	104168038	75944018
crassostrea/GCF_025612915.1_ASM2561291v2_genomic.fna.gz	410	624273838	1522619.1	40628	81655936	60476782
crassostrea/GCF_902806645.1_cgigas_uk_roslin_v1_genomic.fna.gz	236	647887097	2745284.3	169219	73550375	58462999
culex/GCF_015732765.1_VPISU_Cqui_1.0_pri_paternal_genomic.fna.gz	57	573230032	10056667.2	48572	225161840	201550677
culex/GCF_016801865.2_TS_CPP_V2_genomic.fna.gz	290	566354144	1952945.3	25000	224097512	186194774
daphnia/GCF_020631705.1_ASM2063170v1.1_genomic.fna.gz	309	161467056	522547.1	63742	19099978	12546303
daphnia/GCF_021134715.1_ASM2113471v1_genomic.fna.gz	13	133196385	10245875.8	10745562	16340441	12288052
drosophila/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.fna.gz	1870	143726002	76858.8	1577	32079331	25286936
drosophila/GCF_003286155.1_DereRS2_genomic.fna.gz	94	146538397	1558919.1	160558	28426653	22146549
drosophila/GCF_009870125.1_UCI_Dpse_MV25_genomic.fna.gz	70	163282969	2332613.8	61596	68158638	32422566
drosophila/GCF_018153295.1_ASM1815329v1_genomic.fna.gz	1380	191382978	138683.3	22890	31059138	23286615
epinephelus/GCF_005281545.1_ASM528154v1_genomic.fna.gz	4201	1087415941	258846.9	2917	57740692	46227939
epinephelus/GCF_006386435.1_YSFRI_EMoa_1.0_genomic.fna.gz	4563	1030477684	225833.4	1555	52755815	43431032
epinephelus/GCF_011397635.1_E.fuscoguttatus.final_Chr_v1_genomic.fna.gz	26	1047012452	40269709.7	43720812	52788389	44419306
hippocampus/GCF_025434085.1_ASM2543408v3_genomic.fna.gz	213	544521268	2556437.9	37931	42937977	26043804
lytechinus/GCF_015342785.2_UCSD_Lpic_2.1_genomic.fna.gz	1307	999463329	764700.3	14859	91868403	46031485
lytechinus/GCF_018143015.1_Lvar_3.0_genomic.fna.gz	33	869598128	26351458.4	31190146	96709854	45571165
mauremys/GCF_016161935.1_ASM1616193v1_genomic.fna.gz	230	2367607229	10293944.5	320239	361663492	130473029
mauremys/GCF_020497125.1_ASM2049712v1_genomic.fna.gz	595	2484367879	4175408.2	79223	375114972	135065811
octopus/GCF_001194135.2_ASM119413v2_genomic.fna.gz	145327	2342534168	16119.1	363	199874329	96881196
octopus/GCF_006345805.1_ASM634580v1_genomic.fna.gz	13516	2719151902	201180.2	18983	213406131	105892736
oncorhynchus/GCF_002021735.2_Okis_V2_genomic.fna.gz	4087	2375911593	581333.9	34384	95906753	68265700
oncorhynchus/GCF_006149115.2_Oner_1.1_genomic.fna.gz	34757	1925212521	55390.6	2307	76421889	47832342
oreochromis/GCF_001858045.2_O_niloticus_UMD_NMBU_genomic.fna.gz	2460	1005681550	408813.6	21330	87567345	38839487
oreochromis/GCF_013358895.1_ZZ_aureus_genomic.fna.gz	304	1005575223	3307813.2	46032	134388234	40723988
perca/GCF_004354835.1_PFLA_1.0_genomic.fna.gz	268	877456336	3274090.8	15945	44580961	37412490
perca/GCF_010015445.1_GENO_Pfluv_1.0_genomic.fna.gz	303	951345774	3139755.0	14518	48724115	39550354
thunnus/GCF_910596095.1_fThuMac1.1_genomic.fna.gz	58	782423979	13490068.6	95861	41002747	33761101
thunnus/GCF_914725855.1_fThuAlb1.1_genomic.fna.gz	68	792101331	11648549.0	60635	41207429	34622995
vespa/GCF_910589235.1_iyVesCrab1.2_genomic.fna.gz	99	229313526	2316298.2	76782	24517513	9767562
vespa/GCF_912470025.1_iVesVel2.1_genomic.fna.gz	42	193976845	4618496.3	4070217	20680104	9190824
